theme,stock,avg_up_prob,sentiment_corr,corr_norm,total_score,rank
MLCC,대주전자재료,0.42248178,0.7717,1.0,0.6534890770912171,1
MLCC,삼성전기,0.50205386,0.5347,0.8145394788324595,0.627048129484644,2
게임,펄어비스,0.48939386,0.4819,0.7732216918381719,0.6029249987567531,3
게임,크래프톤,0.4836004,0.3857,0.6979419359887314,0.5693370429406434,4
게임,시프트업,0.4794809,0.343,0.6645277408247906,0.5534996496631988,5
화장품,LG생활건강,0.5000705,0.2951,0.6270443696689881,0.5508600790863147,6
게임,더블유게임즈,0.49321684,0.2682,0.60599420924955,0.5383278010685182,7
리츠,SK리츠,0.47329345,0.2837,0.6181234838406762,0.5312254715697178,8
SI,한화시스템,0.50335985,0.2114,0.5615462868769074,0.5266344451649628,9
MLCC,코스모신소재,0.41502538,0.377,0.6911338915408091,0.525468798477667,10
게임,NHN,0.49843815,0.2114,0.5615462868769074,0.5236814224465333,11
두나무,코오롱인더,0.5849087,,0.39611863213083964,0.5093926871510419,12
두나무,카카오,0.5837238,,0.39611863213083964,0.508681722948161,13
화장품,케어젠,0.51916206,0.1173,0.4879098521011033,0.5066611820990625,14
스테이블코인,카카오페이,0.50380147,0.1404,0.5059863839111041,0.5046754564269904,15
통신,SK텔레콤,0.5218257,0.1012,0.475311057203224,0.5032198434802734,16
화장품,아모레퍼시픽,0.49152243,0.141,0.5064559042178574,0.4974958324322296,17
게임,넷마블,0.49497768,0.1327,0.49996087330777056,0.4969709590204502,18
통신,KT,0.53125256,0.0613,0.44408795680413177,0.49638672648195237,19
LNG,HJ중공업,0.5228062,0.0666,0.4482353861804523,0.49297790271742015,20
SI,다우기술,0.48821685,0.132,0.4994130996165584,0.4926953660368089,21
LNG,POSCO홀딩스,0.5249492,0.048,0.43368025667110105,0.4884416423107744,22
LNG,한화엔진,0.5078222,0.0802,0.4588778464668597,0.48824447984193187,23
화장품,달바글로벌,0.5153785,0.0636,0.44588778464668594,0.4875822228140577,24
LNG,삼성중공업,0.5037418,0.0794,0.45825181939118864,0.48554580822751425,25
화장품,한국콜마,0.51299495,0.0602,0.4432271695750841,0.48508785274099864,26
HBM,SK하이닉스,0.52794176,0.0286,0.41849910008607866,0.4841647099959793,27
화장품,실리콘투,0.51272184,0.0555,0.43954926050551685,0.48345280614236175,28
조선,HJ중공업,0.50292903,0.0666,0.4482353861804523,0.48105157954198985,29
LNG,HD현대중공업,0.500629,0.0617,0.44440097034196724,0.47813781666843364,30
조선,삼성중공업,0.49101004,0.0794,0.45825181939118864,0.47790675774381064,31
화장품,엘앤씨바이오,0.5018108,0.056,0.43994052742781126,0.47706269635701926,32
HBM,한화비전,0.5181423,0.0209,0.41247358948274515,0.47587480557077755,33
조선,HD현대중공업,0.492895,0.0617,0.44440097034196724,0.47349741625873515,34
스테이블코인,NAVER,0.49990383,0.0481,0.4337585100555599,0.47344571864701035,35
게임,NAVER,0.49445403,0.0481,0.4337585100555599,0.4701758376369548,36
화장품,아모레퍼시픽홀딩스,0.49342114,0.0497,0.4350105642069019,0.47005692000343946,37
HBM,ISC,0.51865923,-0.0025,0.3941622975193677,0.46886047135683767,38
LNG,HD한국조선해양,0.49533746,0.0413,0.4284372799123562,0.46857740968566086,39
HBM,삼성전자,0.51549286,-0.0017,0.3947883245950387,0.46721104373953526,40
조선,HD한국조선해양,0.48978668,0.0413,0.4284372799123562,0.46524694055419114,41
화장품,코스맥스,0.5057674,0.0028,0.3983097268956882,0.4627843397386067,42
로봇,에스엘,0.49486563,0.0236,0.4145864308631348,0.4627539480032892,43
화장품,네이처셀,0.5041552,0.0048,0.3998747945848658,0.4624430728365403,44
조선,한화오션,0.48538947,0.0403,0.42765474606776743,0.4622955870200177,45
HBM,한미반도체,0.51964486,-0.0255,0.37616401909382574,0.4622525274697599,46
LNG,한국카본,0.5136355,-0.0204,0.3801549417012286,0.46024329234096817,47
HBM,피에스케이홀딩스,0.51419103,-0.0225,0.3785116206275921,0.4599192730850975,48
LNG,비에이치아이,0.49427897,0.0136,0.406761092417247,0.45927181739521306,49
로봇,삼현,0.5049684,-0.0092,0.3889193207606229,0.4585487771266521,50
LNG,한국전력,0.52071136,-0.0418,0.3634087174270287,0.4577903222693497,51
스페이스X,LG에너지솔루션,0.4886847,0.0151,0.4079348931841302,0.45638479153840733,52
로봇,두산로보틱스,0.4908785,0.0095,0.403552703654433,0.45594819489942584,53
HBM,테크윙,0.511387,-0.0311,0.3717818295641286,0.4555449261539596,54
조선,대한조선,0.47698948,0.0333,0.42217700915564593,0.45506450230689643,55
로봇,휴림로봇,0.5073352,-0.0261,0.3756944987870725,0.45467892899900564,56
로봇,에스피지,0.49434978,-0.0027,0.3940057907504499,0.454212194840219,57
HBM,이오테크닉스,0.51319987,-0.039,0.3655998121918773,0.4541598443675652,58
은행,iM금융지주,0.48844847,0.0053,0.40026606150716015,0.45317551902234343,59
LNG,GS,0.5090336,-0.0356,0.36826042726347913,0.45272436100129315,60
SI,LG씨엔에스,0.50848055,-0.0356,0.36826042726347913,0.45239251214150616,61
은행,JB금융지주,0.48973778,-0.0043,0.3927537365991079,0.45094416794133996,62
화장품,파마리서치,0.5128683,-0.0509,0.35628765944127083,0.4502360527653847,63
통신,LG유플러스,0.5185218,-0.0625,0.347210266844041,0.44999719606066024,64
로봇,원익홀딩스,0.5080712,-0.0432,0.3623131700446044,0.4497679785128369,65
게임,NC,0.4907378,-0.0148,0.38453713123092575,0.44825753595069856,66
SI,현대무벡스,0.5398013,-0.1119,0.30855309492135535,0.4473020296326657,67
은행,카카오뱅크,0.4907329,-0.019,0.38125048908365283,0.44693995846419543,68
은행,우리금융지주,0.48326468,-0.0073,0.39040613506534155,0.4461212886742689,69
로봇,로보티즈,0.499283,-0.0392,0.3654433054229595,0.44574713756644635,70
은행,기업은행,0.48567802,-0.0228,0.3782768604742155,0.4427175544733471,71
은행,BNK금융지주,0.4940435,-0.0413,0.3637999843493231,0.44194611115992577,72
스페이스X,아주IB투자,0.5127692,-0.0796,0.3338289381015729,0.4411931085963421,73
로봇,LIG디펜스앤에어로스페이스,0.5013397,-0.0578,0.3508881759136082,0.44115908072349075,74
HBM,고영,0.5138283,-0.0897,0.3259253462712262,0.4386671169821538,75
스테이블코인,LG씨엔에스,0.4842766,-0.0356,0.36826042726347913,0.4378701384652061,76
은행,하나금융지주,0.4982815,-0.0629,0.34689725330620547,0.43772781249344167,77
스페이스X,미래에셋증권,0.50477827,-0.0767,0.33609828625088034,0.43730628003265504,78
은행,KB금융,0.49235508,-0.0695,0.34173252993191955,0.43210605904803945,79
SI,현대오토에버,0.5167651,-0.1166,0.3048751858517881,0.43200914492787346,80
스페이스X,스피어,0.5374719,-0.1659,0.2662962673135613,0.4290016590765323,81
로봇,현대무벡스,0.50292754,-0.1119,0.30855309492135535,0.4251777689686795,82
화장품,에이피알,0.5057139,-0.1186,0.3033101181626105,0.4247523991441641,83
로봇,HL만도,0.49520317,-0.1006,0.3173957273652085,0.42408020318706546,84
로봇,레인보우로보틱스,0.4941352,-0.1031,0.3154393927537366,0.42265688960881886,85
LNG,SK가스,0.499281,-0.12,0.3022145707801862,0.4204544218141192,86
SI,SK,0.5101865,-0.1419,0.28507707958369194,0.4201427338319967,87
스페이스X,세아베스틸지주,0.51627904,-0.1609,0.2702089365365052,0.41785099967487427,88
LNG,SK,0.50501704,-0.1419,0.28507707958369194,0.4170410571294973,89
화장품,코웨이,0.50239164,-0.1408,0.2859378668127396,0.41581014046899234,90
은행,신한지주,0.4921668,-0.1237,0.2993191955552077,0.4150277744955053,91
로봇,두산,0.4992292,-0.1373,0.2886767352688004,0.41500823358963684,92
스페이스X,미래에셋벤처투자,0.5297495,-0.2239,0.22090930432741215,0.4062134472158129,93
화장품,클래시스,0.49966568,-0.194,0.2443070662806166,0.397522239001184,94
은행,케이뱅크,0.52260983,-0.2761,0.1800610376398779,0.38559032491846945,95
LNG,한국가스공사,0.50455624,-0.2795,0.17740042256827604,0.37369391817854025,96
SI,포스코DX,0.4721954,-0.2538,0.19751154237420765,0.36232185504210557,97
LNG,팬오션,0.5105271,-0.3456,0.12567493544095779,0.35658623069951545,98
SI,삼성에스디에스,0.46706256,-0.3514,0.1211362391423429,0.3286920511607824,99
화이자,유한양행,0.53533274,-0.5062,0.0,0.3211996555328369,100
