theme,stock,avg_up_prob,sentiment_corr,corr_norm,total_score,rank
화이자,유한양행,0.5443,0.4443,0.988931608994524,0.7221526614029091,1
은행,케이뱅크,0.4531444,0.4538,1.0,0.6718866467475891,2
MLCC,대주전자재료,0.5445802,0.2994,0.8201095188162646,0.6547919402321943,3
화장품,클래시스,0.5041714,0.2763,0.7931958522661074,0.619781181663813,4
화장품,엘앤씨바이오,0.5081369,0.2435,0.7549807759524642,0.606874479150822,5
SI,다우기술,0.50166744,0.2446,0.7562623791215193,0.6035054275320917,6
화장품,LG생활건강,0.5024941,0.2323,0.7419317255039031,0.5982691661365436,7
스테이블코인,카카오페이,0.51651347,0.1853,0.6871723173715484,0.5847770189705614,8
LNG,한화엔진,0.48155826,0.2237,0.7319119189094723,0.581699743426292,9
게임,NC,0.4999014,0.1983,0.7023185366421997,0.5808682689678693,10
화장품,케어젠,0.52080756,0.1599,0.6575789351042759,0.5755161364387136,11
화장품,아모레퍼시픽홀딩스,0.4990514,0.1856,0.6875218455085634,0.5744395853713942,12
두나무,카카오,0.6201116,,0.47128043807526504,0.5605791498699986,13
두나무,코오롱인더,0.6156806,,0.47128043807526504,0.557920544294437,14
스페이스X,스피어,0.5275746,0.0965,0.5837119888150996,0.5500295667204979,15
SI,한화시스템,0.5326308,0.08,0.564487941279273,0.5453736751136227,16
게임,넷마블,0.50626206,0.1128,0.6027030175929161,0.5448384573461569,17
로봇,로보티즈,0.5074448,0.1032,0.5915181172084353,0.5410741500930604,18
HBM,삼성전자,0.5204293,0.0807,0.565303506932308,0.5383789906826217,19
로봇,에스엘,0.50914717,0.0946,0.5814983106140045,0.5380876424504816,20
스페이스X,아주IB투자,0.51492935,0.087,0.5726435978096237,0.5380150754802032,21
HBM,SK하이닉스,0.5338407,0.0547,0.5350110683910055,0.5343088807293576,22
화장품,달바글로벌,0.5239991,0.0666,0.5488756844926016,0.5339497546167428,23
게임,NAVER,0.51118827,0.0816,0.5663520913433532,0.5332538215760986,24
화장품,아모레퍼시픽,0.49637932,0.0979,0.5853431201211698,0.5319648494812682,25
화장품,에이피알,0.52326584,0.0589,0.5399044623092158,0.5299212940579789,26
HBM,한미반도체,0.52339625,0.0564,0.5369917278340907,0.528834461166519,27
HBM,이오테크닉스,0.5160117,0.0581,0.5389723872771758,0.5251959838720519,28
스페이스X,미래에셋벤처투자,0.50838333,0.067,0.5493417220086216,0.5247667068946504,29
로봇,에스피지,0.4980806,0.0775,0.5615752068041477,0.5234784733008827,30
스페이스X,세아베스틸지주,0.51143396,0.0599,0.541069556099266,0.5232882097649932,31
화장품,코스맥스,0.5118561,0.0574,0.5381568216241407,0.5223763761105937,32
스테이블코인,NAVER,0.4922371,0.0816,0.5663520913433532,0.5218831030969421,33
LNG,한국전력,0.48638034,0.0869,0.5725270884306187,0.5208390504944704,34
로봇,삼현,0.51122844,0.0517,0.5315157870208552,0.5193433801235887,35
화장품,네이처셀,0.5124479,0.0484,0.5276709775136899,0.5185371331376628,36
화장품,실리콘투,0.5109626,0.0459,0.5247582430385646,0.5164808605012534,37
게임,NHN,0.50964683,0.0413,0.5193988116043341,0.5135476244075112,38
화장품,한국콜마,0.52257246,0.02,0.49458231387626705,0.5113764240665896,39
화장품,파마리서치,0.51621836,0.0234,0.49854363276243735,0.5091484895296118,40
로봇,휴림로봇,0.5101616,0.0302,0.506466270534778,0.5086834792489149,41
LNG,비에이치아이,0.47104207,0.0702,0.553070022136782,0.5038532668236154,42
로봇,원익홀딩스,0.5158462,-0.0073,0.4627752534078994,0.4946178289861456,43
HBM,한화비전,0.5260201,-0.0228,0.44471629966212284,0.49349859757786185,44
HBM,피에스케이홀딩스,0.51863825,-0.0165,0.4520563905394384,0.49200553198481833,45
스페이스X,LG에너지솔루션,0.49431768,0.0133,0.48677618548293133,0.49130110043294917,46
SI,현대무벡스,0.5280627,-0.0313,0.43481300244669696,0.4907628395952407,47
조선,HD한국조선해양,0.48098934,0.0265,0.5021554235115927,0.48945578946651147,48
LNG,POSCO홀딩스,0.48784766,0.0067,0.4790865664686007,0.4843432321153181,49
로봇,HL만도,0.50296956,-0.0145,0.4543865781195386,0.48353637501269275,50
조선,HD현대중공업,0.48076245,0.0113,0.48444599790283116,0.4822358822143399,51
LNG,한국카본,0.5015011,-0.0177,0.4506582779913783,0.48116397910235886,52
로봇,LIG디펜스앤에어로스페이스,0.5069147,-0.0259,0.44110450891296754,0.4805906265880294,53
조선,HJ중공업,0.49552864,-0.0121,0.45718280321565885,0.48019032814585216,54
조선,삼성중공업,0.47880957,0.0012,0.47267855062332514,0.4763571653932205,55
로봇,현대무벡스,0.50364,-0.0313,0.43481300244669696,0.47610921649114524,56
게임,시프트업,0.49398315,-0.0198,0.4482115810322731,0.47567454001140475,57
HBM,테크윙,0.511223,-0.0422,0.4221134801351509,0.4755792089161667,58
화장품,코웨이,0.5068358,-0.0395,0.4252592333682862,0.4742051902822052,59
HBM,고영,0.5148584,-0.0536,0.4088314109285798,0.47244764301141606,60
LNG,HD현대중공업,0.4615906,0.0113,0.48444599790283116,0.47073275201681486,61
은행,JB금융지주,0.4982445,-0.0398,0.42490970523127114,0.4689105905332891,62
LNG,HD한국조선해양,0.44651985,0.0265,0.5021554235115927,0.46877408041537927,63
LNG,삼성중공업,0.4642367,0.0012,0.47267855062332514,0.46761346202789456,64
로봇,두산로보틱스,0.500203,-0.0473,0.41617150180589535,0.4665904147348856,65
LNG,HJ중공업,0.4674621,-0.0121,0.45718280321565885,0.463350376869073,66
은행,iM금융지주,0.48977917,-0.0474,0.41605499242689037,0.4602895254093243,67
은행,하나금융지주,0.4942562,-0.0534,0.4090644296865898,0.46017950283929654,68
조선,대한조선,0.46137676,-0.0112,0.45823138762670396,0.46011860890848494,69
조선,한화오션,0.4705398,-0.0275,0.4392403588488873,0.45802004042447314,70
은행,BNK금융지주,0.49391118,-0.0671,0.3931026447629034,0.4535877819385171,71
SI,LG씨엔에스,0.5062651,-0.0888,0.3678201095188163,0.45088711205818266,72
은행,카카오뱅크,0.4949474,-0.0814,0.376441803565187,0.4475451815090826,73
스테이블코인,LG씨엔에스,0.500464,-0.0888,0.3678201095188163,0.44740646902420134,74
은행,우리금융지주,0.48277035,-0.0806,0.3773738785972271,0.4406117635722985,75
SI,SK,0.4793019,-0.0764,0.3822672725154375,0.4404880547695722,76
로봇,레인보우로보틱스,0.496426,-0.0998,0.3550040778282652,0.4398572467471508,77
게임,크래프톤,0.49184602,-0.0969,0.3583828498194105,0.4384607728032067,78
LNG,SK,0.4744239,-0.0764,0.3822672725154375,0.4375612580948438,79
HBM,ISC,0.5194022,-0.1454,0.30187580100198064,0.432391655888158,80
MLCC,삼성전기,0.580546,-0.2265,0.20738669462891762,0.43128231457031707,81
LNG,GS,0.46062922,-0.0744,0.38459746009553775,0.430216542746406,82
은행,기업은행,0.48821044,-0.1327,0.31667249213561693,0.41959527854484435,83
SI,삼성에스디에스,0.50027776,-0.1525,0.29360363509262494,0.4176081205447709,84
스페이스X,미래에셋증권,0.49295402,-0.1572,0.2881276942793895,0.4110235109927006,85
