month,rank,theme
2025-06,1,로봇
2025-06,2,스테이블코인
2025-06,3,화장품
2025-06,4,게임
2025-06,5,HBM
2025-07,1,화장품
2025-07,2,스테이블코인
2025-07,3,HBM
2025-07,4,LNG
2025-07,5,로봇
2025-08,1,로봇
2025-08,2,게임
2025-08,3,화장품
2025-08,4,HBM
2025-08,5,LNG
2025-09,1,로봇
2025-09,2,HBM
2025-09,3,게임
2025-09,4,화장품
2025-09,5,LNG
2025-10,1,HBM
2025-10,2,조선
2025-10,3,로봇
2025-10,4,LNG
2025-10,5,화장품
2025-11,1,로봇
2025-11,2,HBM
2025-11,3,화장품
2025-11,4,LNG
2025-11,5,게임
2025-12,1,HBM
2025-12,2,스페이스X
2025-12,3,로봇
2025-12,4,화장품
2025-12,5,LNG
2026-01,1,스페이스X
2026-01,2,HBM
2026-01,3,로봇
2026-01,4,조선
2026-01,5,LNG
2026-02,1,HBM
2026-02,2,로봇
2026-02,3,화장품
2026-02,4,스페이스X
2026-02,5,LNG
2026-03,1,HBM
2026-03,2,LNG
2026-03,3,로봇
2026-03,4,스페이스X
2026-03,5,스테이블코인
2026-04,1,HBM
2026-04,2,조선
2026-04,3,로봇
2026-04,4,LNG
2026-04,5,화장품
2026-05,1,HBM
2026-05,2,MLCC
2026-05,3,로봇
2026-05,4,스페이스X
2026-05,5,조선
