date,title,desc,theme,month,text
2025-06-21,비트코인은 내리는데…'스테이블코인 주가'는 연일 폭등 - 연합뉴스,비트코인은 내리는데…'스테이블코인 주가'는 연일 폭등&nbsp;&nbsp;연합뉴스,스테이블코인,2025-06,비트코인은 내리는데…'스테이블코인 주가'는 연일 폭등 - 연합뉴스 비트코인은 내리는데…'스테이블코인 주가'는 연일 폭등&nbsp;&nbsp;연합뉴스
2025-06-26,카카오페이 폭등 배아프지? 스테이블코인 ‘진짜 수혜주’ - 중앙일보,카카오페이 폭등 배아프지? 스테이블코인 ‘진짜 수혜주’&nbsp;&nbsp;중앙일보,스테이블코인,2025-06,카카오페이 폭등 배아프지? 스테이블코인 ‘진짜 수혜주’ - 중앙일보 카카오페이 폭등 배아프지? 스테이블코인 ‘진짜 수혜주’&nbsp;&nbsp;중앙일보
2025-06-27,한국은행의 경고에도… 춤추는 ‘스테이블코인 관련주’ [뉴스톡 웰스톡] - 뉴스웰,한국은행의 경고에도… 춤추는 ‘스테이블코인 관련주’ [뉴스톡 웰스톡]&nbsp;&nbsp;뉴스웰,스테이블코인,2025-06,한국은행의 경고에도… 춤추는 ‘스테이블코인 관련주’ [뉴스톡 웰스톡] - 뉴스웰 한국은행의 경고에도… 춤추는 ‘스테이블코인 관련주’ [뉴스톡 웰스톡]&nbsp;&nbsp;뉴스웰
2025-06-12,스테이블코인의 서클이냐 비트코인의 스트래티지냐…美증시 관심 고조 - 연합인포맥스,스테이블코인의 서클이냐 비트코인의 스트래티지냐…美증시 관심 고조&nbsp;&nbsp;연합인포맥스,스테이블코인,2025-06,스테이블코인의 서클이냐 비트코인의 스트래티지냐…美증시 관심 고조 - 연합인포맥스 스테이블코인의 서클이냐 비트코인의 스트래티지냐…美증시 관심 고조&nbsp;&nbsp;연합인포맥스
2025-06-26,스테이블코인 관련주 투자열기…“테마주 성격 강해” 과열 경고음 - 한겨레,스테이블코인 관련주 투자열기…“테마주 성격 강해” 과열 경고음&nbsp;&nbsp;한겨레,스테이블코인,2025-06,스테이블코인 관련주 투자열기…“테마주 성격 강해” 과열 경고음 - 한겨레 스테이블코인 관련주 투자열기…“테마주 성격 강해” 과열 경고음&nbsp;&nbsp;한겨레
2025-06-21,"‘스테이블코인’ 주가 연일 폭등, 17일만에 8배 상승 - 조선일보","‘스테이블코인’ 주가 연일 폭등, 17일만에 8배 상승&nbsp;&nbsp;조선일보",스테이블코인,2025-06,"‘스테이블코인’ 주가 연일 폭등, 17일만에 8배 상승 - 조선일보 ‘스테이블코인’ 주가 연일 폭등, 17일만에 8배 상승&nbsp;&nbsp;조선일보"
2025-06-19,"스테이블코인株, 새 정부 증시 주인공 '우뚝' - 한국경제","스테이블코인株, 새 정부 증시 주인공 '우뚝'&nbsp;&nbsp;한국경제",스테이블코인,2025-06,"스테이블코인株, 새 정부 증시 주인공 '우뚝' - 한국경제 스테이블코인株, 새 정부 증시 주인공 '우뚝'&nbsp;&nbsp;한국경제"
2025-06-08,"""대세는 스테이블코인""…상장 후 이틀 만에 주가 247% 뛴 '이 기업' - 뉴스1","""대세는 스테이블코인""…상장 후 이틀 만에 주가 247% 뛴 '이 기업'&nbsp;&nbsp;뉴스1",스테이블코인,2025-06,"""대세는 스테이블코인""…상장 후 이틀 만에 주가 247% 뛴 '이 기업' - 뉴스1 ""대세는 스테이블코인""…상장 후 이틀 만에 주가 247% 뛴 '이 기업'&nbsp;&nbsp;뉴스1"
2025-06-11,이더리움·트론 ‘수혜’…체인링크도 있다 [스테이블코인 시대 재테크] - v.daum.net,이더리움·트론 ‘수혜’…체인링크도 있다 [스테이블코인 시대 재테크]&nbsp;&nbsp;v.daum.net,스테이블코인,2025-06,이더리움·트론 ‘수혜’…체인링크도 있다 [스테이블코인 시대 재테크] - v.daum.net 이더리움·트론 ‘수혜’…체인링크도 있다 [스테이블코인 시대 재테크]&nbsp;&nbsp;v.daum.net
2025-06-26,4대 리스크?...스테이블코인 관련주 '장중 추락' - 초이스경제,4대 리스크?...스테이블코인 관련주 '장중 추락'&nbsp;&nbsp;초이스경제,스테이블코인,2025-06,4대 리스크?...스테이블코인 관련주 '장중 추락' - 초이스경제 4대 리스크?...스테이블코인 관련주 '장중 추락'&nbsp;&nbsp;초이스경제
2025-06-30,"스테이블코인 발행사 '써클', 이달 서학개미 순매수 1위...장기 전망은 ""글쎄"" - 오피니언뉴스","스테이블코인 발행사 '써클', 이달 서학개미 순매수 1위...장기 전망은 ""글쎄""&nbsp;&nbsp;오피니언뉴스",스테이블코인,2025-06,"스테이블코인 발행사 '써클', 이달 서학개미 순매수 1위...장기 전망은 ""글쎄"" - 오피니언뉴스 스테이블코인 발행사 '써클', 이달 서학개미 순매수 1위...장기 전망은 ""글쎄""&nbsp;&nbsp;오피니언뉴스"
